,Spectra,Host,HostDistance,Contrast,eta,alpha,rho
simu_2282,/sps/ztf/data/sedm/redux/20190603/hgspec_target_crr_b_ifu20190603_09_34_09_ZTF19aauxmqj.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,3.4377883768924615,0.6299073752059661,1.0432863060005197,3.4643402251014317,-0.19010034669068754
simu_2283,/sps/ztf/data/sedm/redux/20200126/hgspec_target_crr_b_ifu20200126_02_44_57_ZTF20aafwbcs.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,7.0304297439764145,0.25594536831570663,1.6343865809535234,2.421835169402977,-0.09819070513154943
simu_2284,/sps/ztf/data/sedm/redux/20200104/hgspec_target_crr_b_ifu20200104_04_47_08_ZTF20aaaboph.txt,/sps/ztf/data/sedm/redux/20211218/e3d_crr_b_ifu20211218_11_36_05_ZTF20aafrjqw.fits,9.11979707514159,0.4201482557215532,0.8462528810161853,1.5530809563209316,-0.22686420331434276
simu_2285,/sps/ztf/data/sedm/redux/20191213/hgspec_target_crr_b_ifu20191213_11_24_12_ZTF19acxphhl.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_12_50_26_ZTF18acnbgrb.fits,5.0459692620466745,0.8363003744490518,0.8462528810161853,1.90058264155375,-0.13495456175520468
simu_2286,/sps/ztf/data/sedm/redux/20200830/hgspec_target_crr_b_ifu20200830_03_35_19_ZTF20abwktfx.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,5.226527756565476,0.8523491790440608,0.45218603104751615,2.421835169402977,-0.3003919165616532
simu_2287,/sps/ztf/data/sedm/redux/20211212/spec_auto_robot_lstep1__crr_b_ifu20211212_06_14_11_ZTF21acgqhru.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,8.250342972103377,0.6913512717282413,0.8462528810161853,1.7268317989373407,-0.20848227500251515
simu_2288,/sps/ztf/data/sedm/redux/20180906/hgspec_target_crr_b_ifu20180906_07_17_49_ZTF18absqhza.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_08_39_47_ZTF20aciuakv.fits,2.546830941355097,0.5926000844452437,1.0432863060005197,2.7693368546357955,-0.19010034669068754
simu_2289,/sps/ztf/data/sedm/redux/20180906/spec_auto_robot_lstep1__crr_b_ifu20180906_08_54_25_ZTF18abktmfz.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,4.502152479034256,0.25645854348791375,1.0432863060005197,1.5530809563209316,-0.3003919165616532
simu_2290,/sps/ztf/data/sedm/redux/20191027/spec_auto_robot_lstep1__crr_b_ifu20191027_04_31_52_ZTF19acgbkzr.txt,/sps/ztf/data/sedm/redux/20220128/e3d_crr_b_ifu20220128_05_47_36_ZTF20aarcpql.fits,5.876198814479157,0.907060960355561,3.2106539808281997,2.0743334841701593,-0.1533364900670323
simu_2291,/sps/ztf/data/sedm/redux/20201011/spec_auto_contsep_lstep1__crr_b_ifu20201011_07_27_41_ZTF20acfdmex.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,1.6165398830418447,0.5397175076581585,1.2403197309848544,3.116838539868614,-0.1533364900670323
